name;slug;timezone;ru;geoname_id;timezone_offset
Almaty;almaty;Asia/Almaty;Алма-Ата;1526384;6
Amsterdam;amsterdam;Europe/Amsterdam;Амстердам;2759794;1
Ankara;ankara;Europe/Istanbul;Анкара;323786;3
Bad Hersfeld;bad_hersfeld;Europe/Berlin;Бад-Херсфельд;2953439;1
Barcelona;barcelona;Europe/Madrid;Барселона;3128760;1
Barnaul;barnaul;Asia/Barnaul;Барнаул;1510853;7
Bogota;bogota;America/Bogota;Богота;3688689;-5
Budapest;budapest;Europe/Budapest;Будапешт;3054643;1
Buffalo;buffalo;America/New_York;Буффало;5110629;-5
Byron Bay;byronbay;Australia/Sydney;Байрон-Бей;2172880;10
Caracas;caracas;America/Caracas;Каракас;3646738;-4
Chelyabinsk;chelyabinsk;Asia/Yekaterinburg;Челябинск;1508291;5
ChiangMai;chiangmai;Asia/Bangkok;Чианг Май;1153671;7
Chisinau;chisinau;Europe/Chisinau;Кишинёв;618426;2
Delhi;delhi;Asia/Kolkata;Дели;1261481;5.5
Derbent;derbent;Europe/Moscow;Дербент;566532;3
Dnepropetrovsk;dnepropetrovsk;Europe/Kiev;Днепропетровск;709930;2
Donetsk;donetsk;Europe/Moscow;Донецк;709717;3
Dublin;dublin;Europe/Dublin;Дублин;2964574;0
Guadalajara;guadalajara;America/Mexico_City;Гвадалахара;4005539;-6
Haifa;haifa;Asia/Jerusalem;Хайфа;294801;2
Heilbronn;heilbronn;Europe/Berlin;Хайльбронн;2907669;1
Helsinki;helsinki;Europe/Helsinki;Хельсинки;658225;2
Herson;herson;Europe/Kiev;Херсон;706448;2
Honolulu;honolulu;Pacific/Honolulu;Гонолулу;5856195;-10
Istanbul;istanbul;Europe/Istanbul;Стамбул;745044;3
Johannesburg;johannesburg;Africa/Johannesburg;Йоханнесбург;993800;2
Kazan;kazan;Europe/Moscow;Казань;551487;3
Kaluga;kaluga;Europe/Moscow;Калуга;553915;3
Khabarovsk;khabarovsk;Asia/Vladivostok;Хабаровск;2022890;10
Khanty Mansiysk;khanty-mansiysk;Asia/Yekaterinburg;Ханты-Мансийск;1503772;5
Kharkiv;kharkiv;Europe/Kiev;Харьков;706483;2
Krasnodar;krasnodar;Europe/Moscow;Краснодар;542420;3
Krasnoyarsk;krasnoyarsk;Asia/Krasnoyarsk;Красноярск;1502026;7
Kuala Lumpur;kuala_lumpur;Asia/Kuala_Lumpur;Куала-Лумпур;1735161;8
Kyiv;kyiv;Europe/Kiev;Киев;703448;2
Lima;lima;America/Lima;Лима;3936456;-5
Linkoeping;linkoeping;Europe/Stockholm;Линчёпинг;2694762;1
London;london;Europe/London;Лондон;2643743;0
Luhansk;luhansk;Europe/Moscow;Луганск;702658;3
Luxembourg;luxembourg;Europe/Luxembourg;Люксембург;2960316;1
Lviv;lviv;Europe/Kiev;Львов;702550;2
Maalot Tarshiha;maalot_tarshiha;Asia/Jerusalem;Маалот-Таршиха;293420;2
Manila;manila;Asia/Manila;Манила;1701668;8
Merida;merida;America/Merida;Мерида;3523349;-6
Mexico City;mexico_city;America/Mexico_City;Мехико;3530597;-6
Miami;miami;America/New_York;Майами;4164138;-5
Milan;milan;Europe/Rome;Милан;3173435;1
Minsk;minsk;Europe/Minsk;Минск;625144;3
Morelia;morelia;America/Mexico_City;Морелия;3995402;-6
Moscow;moscow;Europe/Moscow;Москва;524901;3
Nabadwip;navadvip;Asia/Kolkata;Навадвип;1261669;5.5
New York;new_york;America/New_York;Нью-Йорк;5128581;-5
Nizhny Novgorod;nizhny_novgorod;Europe/Moscow;Нижний Новгород;520555;3
Novgorod The Great;novgorod_the_great;Europe/Moscow;Великий Новгород;519336;3
Novosibirsk;novosibirsk;Asia/Novosibirsk;Новосибирск;1496747;7
Odessa;odessa;Europe/Kiev;Одесса;698740;2
Omsk;omsk;Asia/Omsk;Омск;1496153;6
Orenburg;orenburg;Asia/Yekaterinburg;Оренбург;515003;5
Orsk;orsk;Asia/Yekaterinburg;Орск;514734;5
Oslo;oslo;Europe/Oslo;Осло;3143244;1
Paernu;paernu;Europe/Tallinn;Пярну;589580;2
Perm;perm;Asia/Yekaterinburg;Пермь;511196;5
Petropavlovsk;petropavl;Asia/Almaty;Петропавловск;1520172;6
Petropavlovsk-Kamchatsky;petropavlovsk_kamchatsky;Asia/Kamchatka;Петропавловск-Камчатский;2122104;12
Petrozavodsk;petrozavodsk;Europe/Moscow;Петрозаводск;509820;3
Port Luis;port_luis;Indian/Mauritius;Порт-Луи;934154;4
Prague;prague;Europe/Prague;Прага;3067696;1
Quito;quito;America/Guayaquil;Кито;3652462;-5
Riga;riga;Europe/Riga;Рига;456172;2
Rome;rome;Europe/Rome;Рим;3169070;1
Rostov-on-Don;rostov_on_don;Europe/Moscow;Ростов-на-Дону;501175;3
Saint Petersburg;saint_petersburg;Europe/Moscow;Санкт-Петербург;498817;3
Salt Lake City;salt_lake_city;America/Denver;Солт-Лейк-Сити;5780993;-7
Samara;samara;Europe/Samara;Самара;499099;4
San Luis Potosi;san_luis_potosi;America/Mexico_City;Сан-Луис-Потоси;3985606;-6
San Francisco;san_francisco;America/Los_Angeles;Сан-Франциско;5391959;-8
Sau Paulo;san_paulo;America/Sao_Paulo;Сан-Паулу;3448439;-3
Shenzhen;shenzhen;Asia/Shanghai;Шэньчжэнь;1795565;8
Simferopol;simferopol;Europe/Simferopol;Симферополь;693805;3
Singapore;singapore;Asia/Singapore;Сингапур;1880252;8
Smolensk;smolensk;Europe/Moscow;Смоленск;491687;3
Sochi;sochi;Europe/Moscow;Сочи;491422;3
Soquel;soquel;America/Los_Angeles;Соквель;5397166;-8
Stavropol;stavropol;Europe/Moscow;Ставрополь;487846;3
Sukhum;sukhum;Europe/Moscow;Сухум;611847;3
Surgut;surgut;Asia/Yekaterinburg;Сургут;486137;5
Sydney;sydney;Australia/Sydney;Сидней;2147714;10
Tambov;tambov;Europe/Moscow;Тамбов;484646;3
Tampere;tampere;Europe/Helsinki;Тампере;634963;2
Tijuana;tijuana;America/Tijuana;Тихуана;3981609;-8
Timmins;timmins;America/Toronto;Тимминс;6166739;-5
Tolyatti;tolyatti;Europe/Samara;Тольятти;482283;4
Tuapse;tuapse;Europe/Moscow;Туапсе;480716;3
