year;slug;date;en;ru
538;new-year;2024-01-01;<a href="http://scsmath.com/calendar_events/01_NewYear.html">New Year's Day.</a>;Новый год.
539;new-year;2025-01-01;<a href="http://scsmath.com/calendar_events/01_NewYear.html">New Year's Day.</a>;Новый год.
540;new-year;2026-01-01;<a href="http://scsmath.com/calendar_events/01_NewYear.html">New Year's Day.</a>;Новый год.
541;new-year;2027-01-01;<a href="http://scsmath.com/calendar_events/01_NewYear.html">New Year's Day.</a>;Новый год.
542;new-year;2028-01-01;<a href="http://scsmath.com/calendar_events/01_NewYear.html">New Year's Day.</a>;Новый год.
538;christmas;2023-12-25;<a href="http://scsmath.com/calendar_events/12_Christmas.html">Christmas Day.</a>;Рождество.
539;christmas;2024-12-25;<a href="http://scsmath.com/calendar_events/12_Christmas.html">Christmas Day.</a>;Рождество.
540;christmas;2025-12-25;<a href="http://scsmath.com/calendar_events/12_Christmas.html">Christmas Day.</a>;Рождество.
541;christmas;2026-12-25;<a href="http://scsmath.com/calendar_events/12_Christmas.html">Christmas Day.</a>;Рождество.
542;christmas;2027-12-25;<a href="http://scsmath.com/calendar_events/12_Christmas.html">Christmas Day.</a>;Рождество.
543;christmas;2028-12-25;<a href="http://scsmath.com/calendar_events/12_Christmas.html">Christmas Day.</a>;Рождество.
544;christmas;2029-12-25;<a href="http://scsmath.com/calendar_events/12_Christmas.html">Christmas Day.</a>;Рождество.
538;ratha-yatra;2023-06-20;<a href="http://scsmath.com/calendar_events/06_Rathayatra.html"><b>Ratha Yatra of Sri Jagannathdev.</b></a>;<b>Ратха-ятра Шри Джаганнатхадева.</b>
539;ratha-yatra;2024-07-07;<a href="http://scsmath.com/calendar_events/06_Rathayatra.html"><b>Ratha Yatra of Sri Jagannathdev.</b></a>;<b>Ратха-ятра Шри Джаганнатхадева.</b>
540;ratha-yatra;2025-06-27;<a href="http://scsmath.com/calendar_events/06_Rathayatra.html"><b>Ratha Yatra of Sri Jagannathdev.</b></a>;<b>Ратха-ятра Шри Джаганнатхадева.</b>
541;ratha-yatra;2026-07-16;<a href="http://scsmath.com/calendar_events/06_Rathayatra.html"><b>Ratha Yatra of Sri Jagannathdev.</b></a>;<b>Ратха-ятра Шри Джаганнатхадева.</b>
542;ratha-yatra;2027-07-05;<a href="http://scsmath.com/calendar_events/06_Rathayatra.html"><b>Ratha Yatra of Sri Jagannathdev.</b></a>;<b>Ратха-ятра Шри Джаганнатхадева.</b>
543;ratha-yatra;2028-06-24;<a href="http://scsmath.com/calendar_events/06_Rathayatra.html"><b>Ratha Yatra of Sri Jagannathdev.</b></a>;<b>Ратха-ятра Шри Джаганнатхадева.</b>
544;ratha-yatra;2029-07-13;<a href="http://scsmath.com/calendar_events/06_Rathayatra.html"><b>Ratha Yatra of Sri Jagannathdev.</b></a>;<b>Ратха-ятра Шри Джаганнатхадева.</b>
545;ratha-yatra;2030-07-03;<a href="http://scsmath.com/calendar_events/06_Rathayatra.html"><b>Ratha Yatra of Sri Jagannathdev.</b></a>;<b>Ратха-ятра Шри Джаганнатхадева.</b>
538;gundicha-marjana;2023-06-19;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
539;gundicha-marjana;2024-07-06;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
540;gundicha-marjana;2025-06-26;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
541;gundicha-marjana;2026-07-15;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
542;gundicha-marjana;2027-07-04;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
543;gundicha-marjana;2028-06-23;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
544;gundicha-marjana;2029-07-12;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
545;gundicha-marjana;2030-07-02;<a href="http://scsmath.com/calendar_events/06_Gundicha.html"><b>Gundicha Marjan: </b>cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord.</a>;<b>Гундича Марджана:</b> большая уборка в храме Гундича в Шри Пури Дхаме, уборка во всех храмах Господа.
