vishnu;K;papavimochani;Papa Vimochani <b>Ekadashi</b>;Папа Вимочани <b>экадаши</b>
vishnu;G;kamada;Kamada <b>Ekadashi</b>;Камада <b>экадаши</b>
madhusudan;K;varuthini;Varuthini <b>Ekadashi</b>;<b>Варутхини экадаши</b>
madhusudan;G;mohini;Mohini <b>Ekadashi</b>;Мохини <b>экадаши</b>
trivikram;K;apara;Apara <b>Ekadashi</b>;Апара <b>экадаши</b>
trivikram;G;nirjala;Nirjala <b>Ekadashi</b>;Нирджала <b>экадаши</b>
vaman;K;yogini;Yogini <b>Ekadashi</b>;Йогини <b>экадаши</b>
vaman;G;shayani;Shayan <b>Ekadashi</b>;Шаяна <b>экадаши</b>
shridhar;K;kamika;Kamika <b>Ekadashi</b>;Камика <b>экадаши</b>
shridhar;G;pavitraropani;Pavitraropani <b>Ekadashi</b>;Павитраропани <b>экадаши</b>
hrishikesh;K;annada;Annada <b>Ekadashi</b>;Аннада <b>экадаши</b>
hrishikesh;G;parshva;Parshva <b>Ekadashi</b>;Паршва <b>экадаши</b>
padmanabha;K;indira;Indira <b>Ekadashi</b>;Индира <b>экадаши</b>
padmanabha;G;papaunkusha;Papankusha <b>Ekadashi</b>;Папанкуша <b>экадаши</b>
damodar;K;rama;Rama <b>Ekadashi</b>;Рама <b>экадаши</b>
damodar;G;utthana;Sri Utthan <b>Ekadashi</b>;Шри Уттхана <b>экадаши</b>
keshava;K;utpanna;Utpanna <b>Ekadashi</b>;Утпанна <b>экадаши</b>
keshava;G;mokshada;Moksada <b>Ekadashi</b>;Мокшада <b>экадаши</b>
narayan;K;saphala;Saphala <b>Ekadashi</b>;Сапхала <b>экадаши</b>
narayan;G;putrada;Putrada <b>Ekadashi</b>;Путрада <b>экадаши</b>
madhava;K;shattila;Shat-tila <b>Ekadashi</b>;Шат-тила <b>экадаши</b>
madhava;G;bhaimi;Bhaimi <b>Ekadashi</b>;Бхаими <b>экадаши</b>
govinda;K;vijaya;Vijaya <b>Ekadashi</b>;Виджая <b>экадаши</b>
govinda;G;amalaki;Amalaki <b>Ekadashi</b>;Амалаки <b>экадаши</b>
purushottam;K;parama;Parama <b>Ekadashi</b>;Парама <b>экадаши</b>
purushottam;G;padmini;Padmini <b>Ekadashi</b>;Падмини <b>экадаши</b>
