masa;tithi;paksha;date;end;sunrise;sunset
govinda;pratipad;K;2024-02-25;19:30;6:09;
govinda;dvitiya;K;2024-02-26;21:38;6:08;
govinda;tritiya;K;2024-02-27;23:36;6:07;
govinda;chaturti;K;2024-02-29;1:17;6:06;
govinda;panchami;K;2024-03-01;2:34;6:05;
govinda;shashthi;K;2024-03-02;3:23;6:04;
govinda;saptami;K;2024-03-03;3:40;6:03;
govinda;ashtami;K;2024-03-04;3:26;6:02;
govinda;navami;K;2024-03-05;2:43;6:01;
govinda;dashami;K;2024-03-06;1:33;6:00;
govinda;ekadashi;K;2024-03-06;23:59;6:00;17:38
govinda;dvadashi;K;2024-03-07;22:07;5:59;
govinda;trayodashi;K;2024-03-08;20:00;5:58;
govinda;chaturdashi;K;2024-03-09;17:43;5:57;
govinda;amavasya;K;2024-03-10;15:20;5:56;
govinda;pratipad;G;2024-03-11;12:56;5:55;
govinda;dvitiya;G;2024-03-12;10:37;5:54;
govinda;tritiya;G;2024-03-13;8:27;5:54;
govinda;chaturti;G;2024-03-14;6:30;5:53;
govinda;panchami;G;2024-03-15;4:52;5:52;
govinda;shashthi;G;2024-03-16;3:35;5:51;
govinda;saptami;G;2024-03-17;2:44;5:50;
govinda;ashtami;G;2024-03-18;2:21;5:49;
govinda;navami;G;2024-03-19;2:29;5:48;
govinda;dashami;G;2024-03-20;3:07;5:47;
govinda;ekadashi;G;2024-03-21;4:15;5:46;
govinda;dvadashi;G;2024-03-22;5:47;5:45;17:45
govinda;trayodashi;G;2024-03-23;7:37;5:44;
govinda;chaturdashi;G;2024-03-24;9:43;5:43;
govinda;purnima;G;2024-03-25;11:49;5:42;
vishnu;pratipad;K;2024-03-26;13:44;5:41;
vishnu;dvitiya;K;2024-03-27;15:22;5:40;
vishnu;tritiya;K;2024-03-28;16:36;5:39;
vishnu;chaturti;K;2024-03-29;17:22;5:38;
vishnu;panchami;K;2024-03-30;17:36;5:37;
vishnu;shashthi;K;2024-03-31;17:20;5:36;
vishnu;saptami;K;2024-04-01;16:34;5:35;
vishnu;ashtami;K;2024-04-02;15:22;5:34;
vishnu;navami;K;2024-04-03;13:47;5:33;
vishnu;dashami;K;2024-04-04;11:52;5:32;
vishnu;ekadashi;K;2024-04-05;9:43;5:31;17:50
vishnu;dvadashi;K;2024-04-06;7:23;5:30;
vishnu;trayodashi;K;2024-04-07;4:59;5:29;
vishnu;chaturdashi;K;2024-04-08;2:34;5:28;
vishnu;amavasya;K;2024-04-09;0:13;5:27;
vishnu;pratipad;G;2024-04-09;22:01;5:27;
vishnu;dvitiya;G;2024-04-10;20:02;5:26;
vishnu;tritiya;G;2024-04-11;18:21;5:25;
vishnu;chaturti;G;2024-04-12;17:03;5:24;
vishnu;panchami;G;2024-04-13;16:12;5:23;
vishnu;shashthi;G;2024-04-14;15:46;5:22;
vishnu;saptami;G;2024-04-15;15:52;5:21;
vishnu;ashtami;G;2024-04-16;16:28;5:20;
vishnu;navami;G;2024-04-17;17:35;5:19;
vishnu;dashami;G;2024-04-18;19:06;5:18;
vishnu;ekadashi;G;2024-04-19;20:56;5:17;
vishnu;dvadashi;G;2024-04-20;22:58;5:17;17:56
vishnu;trayodashi;G;2024-04-22;1:02;5:15;17:57
vishnu;chaturdashi;G;2024-04-23;2:56;5:14;
vishnu;purnima;G;2024-04-24;4:32;5:13;
madhusudan;pratipad;K;2024-04-25;5:44;5:13;
madhusudan;dvitiya;K;2024-04-26;6:28;5:12;
madhusudan;tritiya;K;2024-04-27;6:40;5:11;
madhusudan;chaturti;K;2024-04-28;6:22;5:11;
madhusudan;panchami;K;2024-04-29;5:36;5:10;
madhusudan;shashthi;K;2024-04-30;4:22;5:09;
madhusudan;saptami;K;2024-05-01;2:45;5:09;
madhusudan;ashtami;K;2024-05-02;0:49;5:08;
madhusudan;navami;K;2024-05-02;22:38;5:08;
madhusudan;dashami;K;2024-05-03;20:18;5:07;
madhusudan;ekadashi;K;2024-05-04;17:51;5:07;
madhusudan;dvadashi;K;2024-05-05;15:24;5:06;18:02
madhusudan;trayodashi;K;2024-05-06;13:02;5:05;
madhusudan;chaturdashi;K;2024-05-07;10:48;5:05;
madhusudan;amavasya;K;2024-05-08;8:48;5:04;
madhusudan;pratipad;G;2024-05-09;7:05;5:04;
madhusudan;dvitiya;G;2024-05-10;5:45;5:03;
madhusudan;tritiya;G;2024-05-11;4:51;5:03;
madhusudan;chaturti;G;2024-05-12;4:24;5:02;
madhusudan;panchami;G;2024-05-13;4:28;5:01;
madhusudan;shashthi;G;2024-05-14;5:02;5:01;
madhusudan;saptami;G;2024-05-15;6:06;5:00;
madhusudan;ashtami;G;2024-05-16;7:34;5:00;
