masa;tithi;paksha;date;end;sunrise;sunset
vishnu;pratipad;K;2023-03-08;19:20;5:58;
vishnu;dvitiya;K;2023-03-09;20:11;5:57;
vishnu;tritiya;K;2023-03-10;20:29;5:56;
vishnu;chaturti;K;2023-03-11;20:17;5:55;
vishnu;panchami;K;2023-03-12;19:36;5:54;
vishnu;shashthi;K;2023-03-13;18:28;5:54;
vishnu;saptami;K;2023-03-14;16:56;5:53;
vishnu;ashtami;K;2023-03-15;15:05;5:52;
vishnu;navami;K;2023-03-16;13:00;5:51;
vishnu;dashami;K;2023-03-17;10:43;5:50;
vishnu;ekadashi;K;2023-03-18;8:21;5:49;
vishnu;dvadashi;K;2023-03-19;5:57;5:48;17:44
vishnu;trayodashi;K;2023-03-20;3:38;5:47;
vishnu;chaturdashi;K;2023-03-21;1:25;5:46;
vishnu;amavasya;K;2023-03-21;23:27;5:45;
vishnu;pratipad;G;2023-03-22;21:44;5:44;
vishnu;dvitiya;G;2023-03-23;20:25;5:43;
vishnu;tritiya;G;2023-03-24;19:30;5:42;
vishnu;chaturti;G;2023-03-25;19:03;5:41;
vishnu;panchami;G;2023-03-26;19:08;5:40;
vishnu;shashthi;G;2023-03-27;19:43;5:39;
vishnu;saptami;G;2023-03-28;20:48;5:38;
vishnu;ashtami;G;2023-03-29;22:19;5:37;
vishnu;navami;G;2023-03-31;0:09;5:36;
vishnu;dashami;G;2023-04-01;2:13;5:35;
vishnu;ekadashi;G;2023-04-02;4:19;5:34;
vishnu;dvadashi;G;2023-04-03;6:15;5:33;17:49
vishnu;trayodashi;G;2023-04-04;7:55;5:32;17:49
vishnu;chaturdashi;G;2023-04-05;9:10;5:31;
vishnu;purnima;G;2023-04-06;9:57;5:30;
madhusudan;pratipad;K;2023-04-07;10:13;5:29;
madhusudan;dvitiya;K;2023-04-08;9:59;5:28;
madhusudan;tritiya;K;2023-04-09;9:15;5:27;
madhusudan;chaturti;K;2023-04-10;8:04;5:26;
madhusudan;panchami;K;2023-04-11;6:30;5:25;
madhusudan;shashthi;K;2023-04-12;4:38;5:25;
madhusudan;saptami;K;2023-04-13;2:30;5:24;
madhusudan;ashtami;K;2023-04-14;0:12;5:23;
madhusudan;navami;K;2023-04-14;21:49;5:22;
madhusudan;dashami;K;2023-04-15;19:22;5:21;
madhusudan;ekadashi;K;2023-04-16;17:00;5:21;
madhusudan;dvadashi;K;2023-04-17;14:46;5:20;17:55
madhusudan;trayodashi;K;2023-04-18;12:46;5:19;
madhusudan;chaturdashi;K;2023-04-19;11:02;5:18;
madhusudan;amavasya;K;2023-04-20;9:41;5:17;
madhusudan;pratipad;G;2023-04-21;8:45;5:16;
madhusudan;dvitiya;G;2023-04-22;8:16;5:16;
madhusudan;tritiya;G;2023-04-23;8:19;5:15;
madhusudan;chaturti;G;2023-04-24;8:53;5:14;
madhusudan;panchami;G;2023-04-25;9:56;5:13;
madhusudan;shashthi;G;2023-04-26;11:25;5:13;
madhusudan;saptami;G;2023-04-27;13:14;5:12;
madhusudan;ashtami;G;2023-04-28;15:16;5:11;
madhusudan;navami;G;2023-04-29;17:20;5:11;
madhusudan;dashami;G;2023-04-30;19:13;5:10;
madhusudan;ekadashi;G;2023-05-01;20:51;5:09;
madhusudan;dvadashi;G;2023-05-02;22:05;5:09;18:01
madhusudan;trayodashi;G;2023-05-03;22:51;5:08;
madhusudan;chaturdashi;G;2023-05-04;23:06;5:07;
madhusudan;purnima;G;2023-05-05;22:50;5:06;
trivikram;pratipad;K;2023-05-06;22:06;5:05;
trivikram;dvitiya;K;2023-05-07;20:54;5:05;
trivikram;tritiya;K;2023-05-08;19:19;5:05;
trivikram;chaturti;K;2023-05-09;17:25;5:04;
trivikram;panchami;K;2023-05-10;15:26;5:04;
trivikram;shashthi;K;2023-05-11;12:56;5:03;
trivikram;saptami;K;2023-05-12;10:30;5:03;
trivikram;ashtami;K;2023-05-13;8:03;5:02;
trivikram;navami;K;2023-05-14;5:40;5:01;
trivikram;dashami;K;2023-05-15;3:25;5:01;
trivikram;ekadashi;K;2023-05-16;1:23;5:01;
trivikram;dvadashi;K;2023-05-16;23:37;5:01;18:07
trivikram;trayodashi;K;2023-05-17;22:18;5:00;
trivikram;chaturdashi;K;2023-05-18;21:15;4:59;
trivikram;amavasya;K;2023-05-19;20:45;4:59;
trivikram;pratipad;G;2023-05-20;20:44;4:58;
trivikram;dvitiya;G;2023-05-21;21:15;4:58;
trivikram;tritiya;G;2023-05-22;22:16;4:57;
trivikram;chaturti;G;2023-05-23;23:42;4:57;
trivikram;panchami;G;2023-05-25;1:28;4:57;
trivikram;shashthi;G;2023-05-26;3:28;4:57;
trivikram;saptami;G;2023-05-27;5:31;4:56;
trivikram;ashtami;G;2023-05-28;7:25;4:56;
trivikram;navami;G;2023-05-29;9:03;4:56;
trivikram;dashami;G;2023-05-30;10:17;4:56;
trivikram;ekadashi;G;2023-05-31;11:03;4:56;
trivikram;dvadashi;G;2023-06-01;11:18;4:56;18:14
trivikram;trayodashi;G;2023-06-02;11:03;4:56;
trivikram;chaturdashi;G;2023-06-03;10:18;4:56;
trivikram;purnima;G;2023-06-04;9:06;4:56;
vaman;pratipad;K;2023-06-05;7:31;4:56;
vaman;dvitiya;K;2023-06-06;5:37;4:56;
vaman;tritiya;K;2023-06-07;3:27;4:56;
vaman;chaturti;K;2023-06-08;1:07;4:56;
vaman;panchami;K;2023-06-08;22:41;4:56;
vaman;shashthi;K;2023-06-09;20:12;4:56;
vaman;saptami;K;2023-06-10;17:47;4:56;
vaman;ashtami;K;2023-06-11;15:31;4:56;
vaman;navami;K;2023-06-12;13:27;4:56;
vaman;dashami;K;2023-06-13;11:40;4:56;
vaman;ekadashi;K;2023-06-14;10:15;4:56;
vaman;dvadashi;K;2023-06-15;9:13;4:56;18:20
vaman;trayodashi;K;2023-06-16;8:40;4:56;18:21
vaman;chaturdashi;K;2023-06-17;8:37;4:56;
vaman;amavasya;K;2023-06-18;9:05;4:56;
vaman;pratipad;G;2023-06-19;9:59;4:56;
vaman;dvitiya;G;2023-06-20;11:27;4:56;
vaman;tritiya;G;2023-06-21;13:11;4:56;
vaman;chaturti;G;2023-06-22;15:08;4:56;
vaman;panchami;G;2023-06-23;17:10;4:56;
vaman;shashthi;G;2023-06-24;19:04;4:56;
vaman;saptami;G;2023-06-25;20:43;4:56;
vaman;ashtami;G;2023-06-26;21:58;4:57;
vaman;navami;G;2023-06-27;22:47;4:57;
vaman;dashami;G;2023-06-28;23:03;4:58;
vaman;ekadashi;G;2023-06-29;22:49;4:58;
vaman;dvadashi;G;2023-06-30;22:06;4:58;18:24
vaman;trayodashi;G;2023-07-01;20:56;4:59;
vaman;chaturdashi;G;2023-07-02;19:22;4:59;
vaman;purnima;G;2023-07-03;17:28;5:00;
shridhar;pratipad;K;2023-07-04;15:19;5:00;
shridhar;dvitiya;K;2023-07-05;12:59;5:00;
shridhar;tritiya;K;2023-07-06;10:32;5:01;
shridhar;chaturti;K;2023-07-07;8:03;5:01;
shridhar;panchami;K;2023-07-08;5:37;5:02;
shridhar;shashthi;K;2023-07-09;3:19;5:02;
shridhar;saptami;K;2023-07-10;1:14;5:02;
shridhar;ashtami;K;2023-07-10;23:24;5:02;
shridhar;navami;K;2023-07-11;21:57;5:03;
shridhar;dashami;K;2023-07-12;20:45;5:03;
shridhar;ekadashi;K;2023-07-13;20:18;5:03;
shridhar;dvadashi;K;2023-07-14;20:13;5:04;18:23
shridhar;trayodashi;K;2023-07-15;20:39;5:04;
shridhar;chaturdashi;K;2023-07-16;21:34;5:04;
shridhar;amavasya;K;2023-07-17;22:56;5:05;
purushottam;pratipad;G;2023-07-19;0:39;5:05;
purushottam;dvitiya;G;2023-07-20;2:36;5:05;
purushottam;tritiya;G;2023-07-21;4:38;5:05;
purushottam;chaturti;G;2023-07-22;6:32;5:06;
purushottam;panchami;G;2023-07-23;8:12;5:06;
purushottam;shashthi;G;2023-07-24;9:28;5:07;
purushottam;saptami;G;2023-07-25;10:19;5:07;
purushottam;ashtami;G;2023-07-26;10:38;5:07;
purushottam;navami;G;2023-07-27;10:26;5:08;
purushottam;dashami;G;2023-07-28;9:46;5:08;
purushottam;ekadashi;G;2023-07-29;8:38;5:09;
purushottam;dvadashi;G;2023-07-30;7:06;5:09;18:18
purushottam;trayodashi;G;2023-07-31;5:13;5:10;
purushottam;chaturdashi;G;2023-08-01;3:05;5:10;
purushottam;purnima;G;2023-08-02;0:46;5:10;
purushottam;pratipad;K;2023-08-02;22:20;5:11;
purushottam;dvitiya;K;2023-08-03;19:51;5:11;
purushottam;tritiya;K;2023-08-04;17:26;5:12;
purushottam;chaturti;K;2023-08-05;15:08;5:12;
purushottam;panchami;K;2023-08-06;13:02;5:13;
purushottam;shashthi;K;2023-08-07;11:12;5:13;
purushottam;saptami;K;2023-08-08;9:43;5:13;
purushottam;ashtami;K;2023-08-09;8:38;5:14;
purushottam;navami;K;2023-08-10;8:01;5:14;
purushottam;dashami;K;2023-08-11;7:55;5:15;
purushottam;ekadashi;K;2023-08-12;8:19;5:15;
purushottam;dvadashi;K;2023-08-13;9:14;5:15;18:09
purushottam;trayodashi;K;2023-08-14;10:35;5:16;18:09
purushottam;chaturdashi;K;2023-08-15;12:18;5:16;
purushottam;amavasya;K;2023-08-16;14:15;5:16;
shridhar;pratipad;G;2023-08-17;16:18;5:17;
shridhar;dvitiya;G;2023-08-18;18:14;5:17;
shridhar;tritiya;G;2023-08-19;19:56;5:18;
shridhar;chaturti;G;2023-08-20;21:14;5:18;
shridhar;panchami;G;2023-08-21;22:07;5:18;
shridhar;shashthi;G;2023-08-22;22:29;5:18;
shridhar;saptami;G;2023-08-23;22:20;5:19;
shridhar;ashtami;G;2023-08-24;21:41;5:19;
shridhar;navami;G;2023-08-25;20:35;5:19;
shridhar;dashami;G;2023-08-26;19:05;5:19;
shridhar;ekadashi;G;2023-08-27;17:15;5:20;17:59
shridhar;dvadashi;G;2023-08-28;15:09;5:20;17:58
shridhar;trayodashi;G;2023-08-29;12:52;5:21;
shridhar;chaturdashi;G;2023-08-30;10:27;5:21;
shridhar;purnima;G;2023-08-31;7:59;5:21;
hrishikesh;pratipad;K;2023-09-01;5:35;5:22;
hrishikesh;dvitiya;K;2023-09-02;3:17;5:22;
hrishikesh;tritiya;K;2023-09-03;1:11;5:23;
hrishikesh;chaturti;K;2023-09-03;23:22;5:23;
hrishikesh;panchami;K;2023-09-04;21:54;5:23;
hrishikesh;shashthi;K;2023-09-05;21:49;5:23;
hrishikesh;saptami;K;2023-09-06;20:12;5:24;
hrishikesh;ashtami;K;2023-09-07;20:05;5:24;
hrishikesh;navami;K;2023-09-08;20:28;5:24;
hrishikesh;dashami;K;2023-09-09;21:23;5:25;
hrishikesh;ekadashi;K;2023-09-10;22:45;5:25;
hrishikesh;dvadashi;K;2023-09-12;0:29;5:25;17:44
hrishikesh;trayodashi;K;2023-09-13;2:28;5:25;
