masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Viṣṇu;K;Pratipad;;2021-03-29 22:52;2021-03-29 05:38;;;2021-03-29;2021-03-29 04:02;shuddha;;;
Viṣṇu;K;Dvitīya;2021-03-29 22:52;2021-03-30 20:36;2021-03-29 05:38;2021-03-30 05:37;;2021-03-30;2021-03-30 04:01;shuddha;;;
Viṣṇu;K;Tṛtīya;2021-03-30 20:36;2021-03-31 18:13;2021-03-30 05:37;2021-03-31 05:36;;2021-03-31;2021-03-31 04:60;shuddha;;;
Viṣṇu;K;Chaturthī;2021-03-31 18:13;2021-04-01 15:48;2021-03-31 05:36;2021-04-01 05:35;;2021-04-01;2021-04-01 03:59;shuddha;;;
Viṣṇu;K;Pañchamī;2021-04-01 15:48;2021-04-02 13:26;2021-04-01 05:35;2021-04-02 05:34;;2021-04-02;2021-04-02 03:58;shuddha;;;
Viṣṇu;K;Śaṣṭhī;2021-04-02 13:26;2021-04-03 11:12;2021-04-02 05:34;2021-04-03 05:33;;2021-04-03;2021-04-03 03:57;shuddha;;;
Viṣṇu;K;Saptamī;2021-04-03 11:12;2021-04-04 09:09;2021-04-03 05:33;2021-04-04 05:32;;2021-04-04;2021-04-04 03:56;shuddha;;;
Viṣṇu;K;Aṣṭamī;2021-04-04 09:09;2021-04-05 07:22;2021-04-04 05:32;2021-04-05 05:31;;2021-04-05;2021-04-05 03:55;shuddha;;;
Viṣṇu;K;Navamī;2021-04-05 07:22;2021-04-06 05:57;2021-04-05 05:31;2021-04-06 05:30;;2021-04-06;2021-04-06 03:54;shuddha;;;
Viṣṇu;K;Daśamī;2021-04-06 05:57;2021-04-07 04:57;2021-04-06 05:30;2021-04-07 05:29;;2021-04-07;2021-04-07 03:53;kshaya;;;
Viṣṇu;K;Ekādaśī;2021-04-07 04:57;2021-04-08 04:24;2021-04-07 05:29;2021-04-08 05:28;;2021-04-07;2021-04-07 03:53;viddha;;;
Viṣṇu;K;Dvādaśī;2021-04-08 04:24;2021-04-09 04:21;2021-04-08 05:28;2021-04-09 05:27;2021-04-08 17:51;2021-04-08;2021-04-08 03:52;viddha;;;
Viṣṇu;K;Trayodaśī;2021-04-09 04:21;2021-04-10 04:49;2021-04-09 05:27;2021-04-10 05:26;2021-04-09 17:52;2021-04-09;2021-04-09 03:51;viddha;;;
Viṣṇu;K;Chaturdaśī;2021-04-10 04:49;2021-04-11 05:47;2021-04-10 05:26;2021-04-11 05:25;;2021-04-10;2021-04-10 03:50;sampurna;;;
Viṣṇu;K;Amāvasyā;2021-04-11 05:47;2021-04-12 07:12;2021-04-11 05:25;2021-04-12 05:24;;2021-04-12;2021-04-12 03:48;shuddha;;;
Viṣṇu;G;Pratipad;2021-04-12 07:12;2021-04-13 08:54;2021-04-12 05:24;2021-04-13 05:23;;2021-04-13;2021-04-13 03:47;shuddha;;;
Viṣṇu;G;Dvitīya;2021-04-13 08:54;2021-04-14 11:00;2021-04-13 05:23;2021-04-14 05:22;;2021-04-14;2021-04-14 03:46;shuddha;;;
