masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Viṣṇu;K;Pratipad;;2021-03-29 20:22;2021-03-29 06:08;;2021-03-29 18:44;2021-03-29;2021-03-29 04:32;shuddha;;;
Viṣṇu;K;Dvitīya;2021-03-29 20:22;2021-03-30 18:06;2021-03-29 06:08;2021-03-30 06:06;2021-03-29 18:44;2021-03-30;2021-03-30 04:30;shuddha;;;
Viṣṇu;K;Tṛtīya;2021-03-30 18:06;2021-03-31 15:43;2021-03-30 06:06;2021-03-31 06:04;2021-03-30 18:45;2021-03-31;2021-03-31 04:28;shuddha;;;
Viṣṇu;K;Chaturthī;2021-03-31 15:43;2021-04-01 13:18;2021-03-31 06:04;2021-04-01 06:02;2021-03-31 18:46;2021-04-01;2021-04-01 04:26;shuddha;;;
Viṣṇu;K;Pañchamī;2021-04-01 13:18;2021-04-02 10:56;2021-04-01 06:02;2021-04-02 06:00;2021-04-01 18:47;2021-04-02;2021-04-02 04:24;shuddha;;;
Viṣṇu;K;Śaṣṭhī;2021-04-02 10:56;2021-04-03 08:42;2021-04-02 06:00;2021-04-03 05:59;2021-04-02 18:48;2021-04-03;2021-04-03 04:23;shuddha;;;
Viṣṇu;K;Saptamī;2021-04-03 08:42;2021-04-04 06:39;2021-04-03 05:59;2021-04-04 05:57;2021-04-03 18:50;2021-04-04;2021-04-04 04:21;shuddha;;;
Viṣṇu;K;Aṣṭamī;2021-04-04 06:39;2021-04-05 04:52;2021-04-04 05:57;2021-04-05 05:55;2021-04-04 18:51;2021-04-05;2021-04-05 04:19;kshaya;;;
Viṣṇu;K;Navamī;2021-04-05 04:52;2021-04-06 03:27;2021-04-05 05:55;2021-04-06 05:53;2021-04-05 18:52;2021-04-05;2021-04-05 04:19;viddha;;;
Viṣṇu;K;Daśamī;2021-04-06 03:27;2021-04-07 02:27;2021-04-06 05:53;2021-04-07 05:52;2021-04-06 18:53;2021-04-06;2021-04-06 04:17;shuddha;;;
Viṣṇu;K;Ekādaśī;2021-04-07 02:27;2021-04-08 01:54;2021-04-07 05:52;2021-04-08 05:50;2021-04-07 18:54;2021-04-07;2021-04-07 04:16;shuddha;;;
Viṣṇu;K;Dvādaśī;2021-04-08 01:54;2021-04-09 01:51;2021-04-08 05:50;2021-04-09 05:48;2021-04-08 18:56;2021-04-08;2021-04-08 04:14;shuddha;;;
Viṣṇu;K;Trayodaśī;2021-04-09 01:51;2021-04-10 02:19;2021-04-09 05:48;2021-04-10 05:46;2021-04-09 18:57;2021-04-09;2021-04-09 04:12;shuddha;;;
Viṣṇu;K;Chaturdaśī;2021-04-10 02:19;2021-04-11 03:17;2021-04-10 05:46;2021-04-11 05:45;2021-04-10 18:58;2021-04-10;2021-04-10 04:10;shuddha;;;
Viṣṇu;K;Amāvasyā;2021-04-11 03:17;2021-04-12 04:42;2021-04-11 05:45;2021-04-12 05:43;2021-04-11 18:59;2021-04-11;2021-04-11 04:09;shuddha;;;
Viṣṇu;G;Pratipad;2021-04-12 04:42;2021-04-13 06:24;2021-04-12 05:43;2021-04-13 05:41;2021-04-12 19:00;2021-04-12;2021-04-12 04:07;sampurna;;;
Viṣṇu;G;Dvitīya;2021-04-13 06:24;2021-04-14 08:30;2021-04-13 05:41;2021-04-14 05:40;2021-04-13 19:02;2021-04-14;2021-04-14 04:04;shuddha;;;
Viṣṇu;G;Tṛtīya;2021-04-14 08:30;2021-04-15 10:35;2021-04-14 05:40;2021-04-15 05:38;2021-04-14 19:03;2021-04-15;2021-04-15 04:02;shuddha;;;
Viṣṇu;G;Chaturthī;2021-04-15 10:35;2021-04-16 12:32;2021-04-15 05:38;2021-04-16 05:36;2021-04-15 19:04;2021-04-16;2021-04-16 04:60;shuddha;;;
Viṣṇu;G;Pañchamī;2021-04-16 12:32;2021-04-17 14:15;2021-04-16 05:36;2021-04-17 05:35;2021-04-16 19:05;2021-04-17;2021-04-17 03:59;shuddha;;;
Viṣṇu;G;Śaṣṭhī;2021-04-17 14:15;2021-04-18 15:34;2021-04-17 05:35;2021-04-18 05:33;2021-04-17 19:06;2021-04-18;2021-04-18 03:57;shuddha;;;
Viṣṇu;G;Saptamī;2021-04-18 15:34;2021-04-19 16:27;2021-04-18 05:33;2021-04-19 05:31;2021-04-18 19:08;2021-04-19;2021-04-19 03:55;shuddha;;;
Viṣṇu;G;Aṣṭamī;2021-04-19 16:27;2021-04-20 16:48;2021-04-19 05:31;2021-04-20 05:30;2021-04-19 19:09;2021-04-20;2021-04-20 03:54;shuddha;;;
Viṣṇu;G;Navamī;2021-04-20 16:48;2021-04-21 16:39;2021-04-20 05:30;2021-04-21 05:28;2021-04-20 19:10;2021-04-21;2021-04-21 03:52;shuddha;;;
Viṣṇu;G;Daśamī;2021-04-21 16:39;2021-04-22 16:00;2021-04-21 05:28;2021-04-22 05:27;2021-04-21 19:11;2021-04-22;2021-04-22 03:51;shuddha;;;
