masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Viṣṇu;K;Pratipad;;2021-03-29 11:22;2021-03-29 06:57;;2021-03-29 19:28;2021-03-29;2021-03-29 05:21;shuddha;;;
Viṣṇu;K;Dvitīya;2021-03-29 11:22;2021-03-30 09:06;2021-03-29 06:57;2021-03-30 06:56;2021-03-29 19:28;2021-03-30;2021-03-30 05:20;shuddha;;;
Viṣṇu;K;Tṛtīya;2021-03-30 09:06;2021-03-31 06:43;2021-03-30 06:56;2021-03-31 06:54;2021-03-30 19:28;2021-03-31;2021-03-31 05:18;kshaya;;;
Viṣṇu;K;Chaturthī;2021-03-31 06:43;2021-04-01 04:18;2021-03-31 06:54;2021-04-01 06:53;2021-03-31 19:29;2021-03-31;2021-03-31 05:18;viddha;;;
Viṣṇu;K;Pañchamī;2021-04-01 04:18;2021-04-02 01:56;2021-04-01 06:53;2021-04-02 06:51;2021-04-01 19:30;2021-04-01;2021-04-01 05:17;shuddha;;;
Viṣṇu;K;Śaṣṭhī;2021-04-02 01:56;2021-04-02 23:42;2021-04-02 06:51;2021-04-03 06:50;2021-04-02 19:31;2021-04-02;2021-04-02 05:15;shuddha;;;
Viṣṇu;K;Saptamī;2021-04-02 23:42;2021-04-03 21:39;2021-04-02 06:51;2021-04-03 06:50;2021-04-02 19:31;2021-04-03;2021-04-03 05:14;shuddha;;;
Viṣṇu;K;Aṣṭamī;2021-04-03 21:39;2021-04-04 19:52;2021-04-03 06:50;2021-04-04 06:48;2021-04-03 19:32;2021-04-04;2021-04-04 05:12;shuddha;;;
Viṣṇu;K;Navamī;2021-04-04 19:52;2021-04-05 18:27;2021-04-04 06:48;2021-04-05 06:47;2021-04-04 19:33;2021-04-05;2021-04-05 05:11;shuddha;;;
Viṣṇu;K;Daśamī;2021-04-05 18:27;2021-04-06 17:27;2021-04-05 06:47;2021-04-06 06:45;2021-04-05 19:34;2021-04-06;2021-04-06 05:09;shuddha;;;
Viṣṇu;K;Ekādaśī;2021-04-06 17:27;2021-04-07 16:54;2021-04-06 06:45;2021-04-07 06:44;2021-04-06 19:35;2021-04-07;2021-04-07 05:08;shuddha;;;
Viṣṇu;K;Dvādaśī;2021-04-07 16:54;2021-04-08 16:51;2021-04-07 06:44;2021-04-08 06:42;2021-04-07 19:36;2021-04-08;2021-04-08 05:06;shuddha;;;
Viṣṇu;K;Trayodaśī;2021-04-08 16:51;2021-04-09 17:19;2021-04-08 06:42;2021-04-09 06:41;2021-04-08 19:36;2021-04-09;2021-04-09 05:05;shuddha;;;
Viṣṇu;K;Chaturdaśī;2021-04-09 17:19;2021-04-10 18:17;2021-04-09 06:41;2021-04-10 06:40;2021-04-09 19:37;2021-04-10;2021-04-10 05:04;shuddha;;;
Viṣṇu;K;Amāvasyā;2021-04-10 18:17;2021-04-11 19:42;2021-04-10 06:40;2021-04-11 06:38;2021-04-10 19:38;2021-04-11;2021-04-11 05:02;shuddha;;;
Viṣṇu;G;Pratipad;2021-04-11 19:42;2021-04-12 21:24;2021-04-11 06:38;2021-04-12 06:37;2021-04-11 19:39;2021-04-12;2021-04-12 05:01;shuddha;;;
Viṣṇu;G;Dvitīya;2021-04-12 21:24;2021-04-13 23:30;2021-04-12 06:37;2021-04-13 06:35;2021-04-12 19:40;2021-04-13;2021-04-13 04:59;shuddha;;;
Viṣṇu;G;Tṛtīya;2021-04-13 23:30;2021-04-15 01:35;2021-04-13 06:35;2021-04-14 06:34;2021-04-13 19:41;2021-04-14;2021-04-14 04:58;shuddha;;;
Viṣṇu;G;Chaturthī;2021-04-15 01:35;2021-04-16 03:32;2021-04-15 06:33;2021-04-16 06:31;2021-04-15 19:43;2021-04-15;2021-04-15 04:57;shuddha;;;
Viṣṇu;G;Pañchamī;2021-04-16 03:32;2021-04-17 05:15;2021-04-16 06:31;2021-04-17 06:30;2021-04-16 19:43;2021-04-16;2021-04-16 04:55;shuddha;;;
Viṣṇu;G;Śaṣṭhī;2021-04-17 05:15;2021-04-18 06:34;2021-04-17 06:30;2021-04-18 06:29;2021-04-17 19:44;2021-04-17;2021-04-17 04:54;sampurna;;;
Viṣṇu;G;Saptamī;2021-04-18 06:34;2021-04-19 07:27;2021-04-18 06:29;2021-04-19 06:27;2021-04-18 19:45;2021-04-19;2021-04-19 04:51;shuddha;;;
Viṣṇu;G;Aṣṭamī;2021-04-19 07:27;2021-04-20 07:48;2021-04-19 06:27;2021-04-20 06:26;2021-04-19 19:46;2021-04-20;2021-04-20 04:50;shuddha;;;
Viṣṇu;G;Navamī;2021-04-20 07:48;2021-04-21 07:39;2021-04-20 06:26;2021-04-21 06:25;2021-04-20 19:47;2021-04-21;2021-04-21 04:49;shuddha;;;
Viṣṇu;G;Daśamī;2021-04-21 07:39;2021-04-22 07:00;2021-04-21 06:25;2021-04-22 06:23;2021-04-21 19:48;2021-04-22;2021-04-22 04:47;shuddha;;;
Viṣṇu;G;Ekādaśī;2021-04-22 07:00;2021-04-23 05:54;2021-04-22 06:23;2021-04-23 06:22;2021-04-22 19:49;2021-04-23;2021-04-23 04:46;kshaya;;;
Viṣṇu;G;Dvādaśī;2021-04-23 05:54;2021-04-24 04:24;2021-04-23 06:22;2021-04-24 06:21;2021-04-23 19:50;2021-04-23;2021-04-23 04:46;viddha;;;
Viṣṇu;G;Trayodaśī;2021-04-24 04:24;2021-04-25 02:34;2021-04-24 06:21;2021-04-25 06:20;2021-04-24 19:51;2021-04-24;2021-04-24 04:45;shuddha;;;
Viṣṇu;G;Chaturdaśī;2021-04-25 02:34;2021-04-26 00:28;2021-04-25 06:20;2021-04-26 06:18;2021-04-25 19:51;2021-04-25;2021-04-25 04:44;shuddha;;;
Viṣṇu;G;Pūrṇimā;2021-04-26 00:28;2021-04-26 22:11;2021-04-26 06:18;2021-04-27 06:17;2021-04-26 19:52;2021-04-26;2021-04-26 04:42;shuddha;;;
Madhusūdan;K;Pratipad;2021-04-26 22:11;2021-04-27 19:47;2021-04-26 06:18;2021-04-27 06:17;2021-04-26 19:52;2021-04-27;2021-04-27 04:41;shuddha;;;
Madhusūdan;K;Dvitīya;2021-04-27 19:47;2021-04-28 17:21;2021-04-27 06:17;2021-04-28 06:16;2021-04-27 19:53;2021-04-28;2021-04-28 04:40;shuddha;;;
Madhusūdan;K;Tṛtīya;2021-04-28 17:21;2021-04-29 14:56;2021-04-28 06:16;2021-04-29 06:15;2021-04-28 19:54;2021-04-29;2021-04-29 04:39;shuddha;;;
Madhusūdan;K;Chaturthī;2021-04-29 14:56;2021-04-30 12:40;2021-04-29 06:15;2021-04-30 06:14;2021-04-29 19:55;2021-04-30;2021-04-30 04:38;shuddha;;;
Madhusūdan;K;Pañchamī;2021-04-30 12:40;2021-05-01 10:35;2021-04-30 06:14;2021-05-01 06:13;2021-04-30 19:56;2021-05-01;2021-05-01 04:37;shuddha;;;
Madhusūdan;K;Śaṣṭhī;2021-05-01 10:35;2021-05-02 08:47;2021-05-01 06:13;2021-05-02 06:12;2021-05-01 19:57;2021-05-02;2021-05-02 04:36;shuddha;;;
Madhusūdan;K;Saptamī;2021-05-02 08:47;2021-05-03 07:21;2021-05-02 06:12;2021-05-03 06:10;2021-05-02 19:58;2021-05-03;2021-05-03 04:34;shuddha;;;
Madhusūdan;K;Aṣṭamī;2021-05-03 07:21;2021-05-04 06:18;2021-05-03 06:10;2021-05-04 06:09;2021-05-03 19:59;2021-05-04;2021-05-04 04:33;shuddha;;;
Madhusūdan;K;Navamī;2021-05-04 06:18;2021-05-05 05:42;2021-05-04 06:09;2021-05-05 06:08;2021-05-04 19:59;2021-05-05;2021-05-05 04:32;kshaya;;;
Madhusūdan;K;Daśamī;2021-05-05 05:42;2021-05-06 05:38;2021-05-05 06:08;2021-05-06 06:07;2021-05-05 20:00;2021-05-05;2021-05-05 04:32;viddha;;;
Madhusūdan;K;Ekādaśī;2021-05-06 05:38;2021-05-07 06:04;2021-05-06 06:07;2021-05-07 06:06;2021-05-06 20:01;2021-05-06;2021-05-06 04:31;viddha;;;
Madhusūdan;K;Dvādaśī;2021-05-07 06:04;2021-05-08 07:00;2021-05-07 06:06;2021-05-08 06:05;2021-05-07 20:02;2021-05-07;2021-05-07 04:30;sampurna;;;
Madhusūdan;K;Trayodaśī;2021-05-08 07:00;2021-05-09 08:23;2021-05-08 06:05;2021-05-09 06:04;2021-05-08 20:03;2021-05-09;2021-05-09 04:28;shuddha;;;
Madhusūdan;K;Chaturdaśī;2021-05-09 08:23;2021-05-10 10:07;2021-05-09 06:04;2021-05-10 06:03;2021-05-09 20:04;2021-05-10;2021-05-10 04:27;shuddha;;;
Madhusūdan;K;Amāvasyā;2021-05-10 10:07;2021-05-11 12:06;2021-05-10 06:03;2021-05-11 06:02;2021-05-10 20:05;2021-05-11;2021-05-11 04:26;shuddha;;;
Madhusūdan;G;Pratipad;2021-05-11 12:06;2021-05-12 14:10;2021-05-11 06:02;2021-05-12 06:02;2021-05-11 20:05;2021-05-12;2021-05-12 04:26;shuddha;;;
Madhusūdan;G;Dvitīya;2021-05-12 14:10;2021-05-13 16:06;2021-05-12 06:02;2021-05-13 06:01;2021-05-12 20:06;2021-05-13;2021-05-13 04:25;shuddha;;;
Madhusūdan;G;Tṛtīya;2021-05-13 16:06;2021-05-14 17:47;2021-05-13 06:01;2021-05-14 06:00;2021-05-13 20:07;2021-05-14;2021-05-14 04:24;shuddha;;;
Madhusūdan;G;Chaturthī;2021-05-14 17:47;2021-05-15 19:05;2021-05-14 06:00;2021-05-15 05:59;2021-05-14 20:08;2021-05-15;2021-05-15 04:23;shuddha;;;
Madhusūdan;G;Pañchamī;2021-05-15 19:05;2021-05-16 19:57;2021-05-15 05:59;2021-05-16 05:58;2021-05-15 20:09;2021-05-16;2021-05-16 04:22;shuddha;;;
Madhusūdan;G;Śaṣṭhī;2021-05-16 19:57;2021-05-17 20:18;2021-05-16 05:58;2021-05-17 05:57;2021-05-16 20:10;2021-05-17;2021-05-17 04:21;shuddha;;;
Madhusūdan;G;Saptamī;2021-05-17 20:18;2021-05-18 20:08;2021-05-17 05:57;2021-05-18 05:57;2021-05-17 20:11;2021-05-18;2021-05-18 04:21;shuddha;;;
Madhusūdan;G;Aṣṭamī;2021-05-18 20:08;2021-05-19 19:29;2021-05-18 05:57;2021-05-19 05:56;2021-05-18 20:11;2021-05-19;2021-05-19 04:20;shuddha;;;
Madhusūdan;G;Navamī;2021-05-19 19:29;2021-05-20 18:22;2021-05-19 05:56;2021-05-20 05:55;2021-05-19 20:12;2021-05-20;2021-05-20 04:19;shuddha;;;
