masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;third_day_sunrise;date;type
Viṣṇu;K;Pratipad;;2021-03-29 11:22;;;;2021-03-29;shuddha
Viṣṇu;K;Dvitīya;2021-03-29 11:22;2021-03-30 09:06;2021-03-29 06:57;2021-03-30 06:56;2021-03-31 06:54;2021-03-30;shuddha
Viṣṇu;K;Tṛtīya;2021-03-30 09:06;2021-03-31 06:43;2021-03-30 06:56;2021-03-31 06:54;2021-04-01 06:53;2021-03-30;kshaya
Viṣṇu;K;Chaturthī;2021-03-31 06:43;2021-04-01 04:18;2021-03-31 06:54;2021-04-01 06:53;2021-04-02 06:51;2021-03-31;shuddha
Viṣṇu;K;Pañchamī;2021-04-01 04:18;2021-04-02 01:56;2021-04-01 06:53;2021-04-02 06:51;2021-04-03 06:50;2021-04-01;shuddha
Viṣṇu;K;Śaṣṭhī;2021-04-02 01:56;2021-04-02 23:42;2021-04-02 06:51;2021-04-03 06:50;2021-04-04 06:48;2021-04-02;shuddha
Viṣṇu;K;Saptamī;2021-04-02 23:42;2021-04-03 21:39;2021-04-02 06:51;2021-04-03 06:50;2021-04-04 06:48;2021-04-03;shuddha
Viṣṇu;K;Aṣṭamī;2021-04-03 21:39;2021-04-04 19:52;2021-04-03 06:50;2021-04-04 06:48;2021-04-05 06:47;2021-04-04;shuddha
Viṣṇu;K;Navamī;2021-04-04 19:52;2021-04-05 18:27;2021-04-04 06:48;2021-04-05 06:47;2021-04-06 06:45;2021-04-05;shuddha
Viṣṇu;K;Daśamī;2021-04-05 18:27;2021-04-06 17:27;2021-04-05 06:47;2021-04-06 06:45;2021-04-07 06:44;2021-04-06;shuddha
Viṣṇu;K;Ekādaśī;2021-04-06 17:27;2021-04-07 16:54;2021-04-06 06:45;2021-04-07 06:44;2021-04-08 06:42;2021-04-07;shuddha
Viṣṇu;K;Dvādaśī;2021-04-07 16:54;2021-04-08 16:51;2021-04-07 06:44;2021-04-08 06:42;2021-04-09 06:41;2021-04-08;shuddha
Viṣṇu;K;Trayodaśī;2021-04-08 16:51;2021-04-09 17:19;2021-04-08 06:42;2021-04-09 06:41;2021-04-10 06:40;2021-04-09;shuddha
Viṣṇu;K;Chaturdaśī;2021-04-09 17:19;2021-04-10 18:17;2021-04-09 06:41;2021-04-10 06:40;2021-04-11 06:38;2021-04-10;shuddha
Viṣṇu;K;Amāvasyā;2021-04-10 18:17;2021-04-11 19:42;2021-04-10 06:40;2021-04-11 06:38;2021-04-12 06:37;2021-04-11;shuddha
Viṣṇu;G;Pratipad;2021-04-11 19:42;2021-04-12 21:24;2021-04-11 06:38;2021-04-12 06:37;2021-04-13 06:35;2021-04-12;shuddha
Viṣṇu;G;Dvitīya;2021-04-12 21:24;2021-04-13 23:30;2021-04-12 06:37;2021-04-13 06:35;2021-04-14 06:34;2021-04-13;shuddha
Viṣṇu;G;Tṛtīya;2021-04-13 23:30;2021-04-15 01:35;2021-04-13 06:35;2021-04-14 06:34;2021-04-15 06:33;2021-04-15;shuddha
Viṣṇu;G;Chaturthī;2021-04-15 01:35;2021-04-16 03:32;2021-04-15 06:33;2021-04-16 06:31;2021-04-17 06:30;2021-04-15;shuddha
Viṣṇu;G;Pañchamī;2021-04-16 03:32;2021-04-17 05:15;2021-04-16 06:31;2021-04-17 06:30;2021-04-18 06:29;2021-04-16;shuddha
Viṣṇu;G;Śaṣṭhī;2021-04-17 05:15;2021-04-18 06:34;2021-04-17 06:30;2021-04-18 06:29;2021-04-19 06:27;2021-04-17;sampurna
